PracticeFile,TrainingFile,TestFile,StimFile,audioStim,imageDescription,correct,imageStim,predicate,AS_tone,sentence,AS,AS_gloss,prompt,condition,question_gloss,predicate_gloss,question,sentence_gloss,OComp,speaker,OComp_gloss,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,key_resp_8.keys,key_resp_8.rt,key_resp_9.keys,key_resp_9.rt,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_3.keys,key_resp_3.rt,date,frameRate,expName,session,participant
SumiRating_stimuli-practice-chase_sleep.xlsx,SumiRating_stimuli-training-chase_sleep.xlsx,SumiRating_stimuli-test-chase_sleep.xlsx,SumiRating_stimuli-chase_sleep.xlsx,broad_chase_L2.wav,,p,chase_L2.PNG,ha,L2,atsü no ane ha cheni,atsü,dog,[W] Ku shi ani kea?; [P] Khu no ha cheni?,broad,What's happening?,chasing,Ku shi ani kea?,The dog is chasing the goat.,ane,1,goat,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,f,0,34.13820317,,,,,2018_Apr_05_1108,59.92834394,rating_try1,1,1
SumiRating_stimuli-practice-chase_sleep.xlsx,SumiRating_stimuli-training-chase_sleep.xlsx,SumiRating_stimuli-test-chase_sleep.xlsx,SumiRating_stimuli-chase_sleep.xlsx,narrow_chase_L1.wav,,w,chase_L1.PNG,ha,L1,awo no awudu ha cheni,awo,pig,[W] Ku shi ani kea?; [P] Khu no ha cheni?,narrow,What's chasing (the animal)?,chasing,Khu no ha cheni?,The pig is chasing the rooster.,awudu,1,rooster,0,0,0,0,,,,,,,,,,,,,0,1,1,1,,,,,,,,,f,0,10.89554313,,,,,2018_Apr_05_1108,59.92834394,rating_try1,1,1
SumiRating_stimuli-practice-chase_sleep.xlsx,SumiRating_stimuli-training-chase_sleep.xlsx,SumiRating_stimuli-test-chase_sleep.xlsx,SumiRating_stimuli-chase_sleep.xlsx,broad_sleep_L2.wav,,p,sleep_L2.PNG,zü,L2,atsü no zü ani,atsü,dog,[W] Ku shi ani kea?; [P] Khu no zü cheni?,broad,What's happening?,sleeping,Ku shi ani kea?,The dog is sleeping.,None,1,None,0,0,0,0,,,,,,,,,,,,,0,2,2,2,,,,,,,,,w,0,2.568469293,,,,,2018_Apr_05_1108,59.92834394,rating_try1,1,1
SumiRating_stimuli-practice-chase_sleep.xlsx,SumiRating_stimuli-training-chase_sleep.xlsx,SumiRating_stimuli-test-chase_sleep.xlsx,SumiRating_stimuli-chase_sleep.xlsx,narrow_sleep_M1.wav,,w,sleep_M1.PNG,zü,M1,avi no zü ani,avi,mithun,[W] Ku shi ani kea?; [P] Khu no zü cheni?,narrow,What's sleeping?,sleeping,Khu no zü ani?,The mithun is sleeping.,None,1,None,0,0,0,0,,,,,,,,,,,,,0,3,3,3,,,,,,,,,p,0,7.409185682,,,,,2018_Apr_05_1108,59.92834394,rating_try1,1,1
SumiRating_stimuli-practice-chase_sleep.xlsx,SumiRating_stimuli-training-chase_sleep.xlsx,SumiRating_stimuli-test-chase_sleep.xlsx,SumiRating_stimuli-chase_sleep.xlsx,narrow_chase_H2.wav,,w,chase_H2.PNG,ha,H2,akuhu no awo ha cheni,akuhu,gibbon,[W] Ku shi ani kea?; [P] Khu no ha cheni?,narrow,What's chasing (the animal)?,chasing,Khu no ha cheni?,The gibbon is chasing the pig.,awo,1,pig,0,0,0,0,,,,,,,,,,,,,0,4,4,4,,,,,,,,,f,0,13.75025266,,,,,2018_Apr_05_1108,59.92834394,rating_try1,1,1
SumiRating_stimuli-practice-chase_sleep.xlsx,SumiRating_stimuli-training-chase_sleep.xlsx,SumiRating_stimuli-test-chase_sleep.xlsx,SumiRating_stimuli-chase_sleep.xlsx,narrow_sleep_H3.wav,,w,sleep_H3.PNG,zü,H3,awudu no zü ani,awudu,rooster,[W] Ku shi ani kea?; [P] Khu no zü cheni?,narrow,What's sleeping?,sleeping,Khu no zü ani?,The rooster is sleeping.,None,1,None,0,0,0,0,,,,,,,,,,,,,0,5,5,5,,,,,,,,,p,0,1.819199511,,,,,2018_Apr_05_1108,59.92834394,rating_try1,1,1
SumiRating_stimuli-practice-chase_sleep.xlsx,SumiRating_stimuli-training-chase_sleep.xlsx,SumiRating_stimuli-test-chase_sleep.xlsx,SumiRating_stimuli-chase_sleep.xlsx,narrow_sleep_L4.wav,,w,sleep_L4.PNG,zü,L4,ane no zü ani,ane,goat,[W] Ku shi ani kea?; [P] Khu no zü cheni?,narrow,What's sleeping?,sleeping,Khu no zü ani?,The goat is sleeping.,None,1,None,0,0,0,0,,,,,,,,,,,,,0,6,6,6,,,,,,,,,p,0,3.588582797,,,,,2018_Apr_05_1108,59.92834394,rating_try1,1,1
SumiRating_stimuli-practice-chase_sleep.xlsx,SumiRating_stimuli-training-chase_sleep.xlsx,SumiRating_stimuli-test-chase_sleep.xlsx,SumiRating_stimuli-chase_sleep.xlsx,broad_sleep_M3.wav,,p,sleep_M3.PNG,zü,M3,ashe no zü ani,ashe,deer,[W] Ku shi ani kea?; [P] Khu no zü cheni?,broad,What's happening?,sleeping,Ku shi ani kea?,The deer is sleeping.,None,1,None,0,0,0,0,,,,,,,,,,,,,0,7,7,7,,,,,,,,,p,1,1.286594939,,,,,2018_Apr_05_1108,59.92834394,rating_try1,1,1
SumiRating_stimuli-practice-chase_sleep.xlsx,SumiRating_stimuli-training-chase_sleep.xlsx,SumiRating_stimuli-test-chase_sleep.xlsx,SumiRating_stimuli-chase_sleep.xlsx,broad_sleep_L1.wav,,p,sleep_L1.PNG,zü,L1,awo no zü ani,awo,pig,[W] Ku shi ani kea?; [P] Khu no zü cheni?,broad,What's happening?,sleeping,Ku shi ani kea?,The pig is sleeping.,None,1,None,0,0,0,0,,,,,,,,,,,,,0,8,8,8,,,,,,,,,p,1,0.652322252,,,,,2018_Apr_05_1108,59.92834394,rating_try1,1,1
SumiRating_stimuli-practice-chase_sleep.xlsx,SumiRating_stimuli-training-chase_sleep.xlsx,SumiRating_stimuli-test-chase_sleep.xlsx,SumiRating_stimuli-chase_sleep.xlsx,broad_chase_M2.wav,,p,chase_M2.PNG,ha,M2,ava no amishi ha cheni,ava,bear,[W] Ku shi ani kea?; [P] Khu no ha cheni?,broad,What's happening?,chasing,Ku shi ani kea?,The bear is chasing the cow.,amishi,1,cow,0,0,0,0,,,,,,,,,,,,,0,9,9,9,,,,,,,,,p,1,0.935002647,,,,,2018_Apr_05_1108,59.92834394,rating_try1,1,1
